names,state,posterior,accuracy,rmsq
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(0, 0, 0, 0, 0, 0, 0, 0, 0)",0.002008977237494325,1,0.002008977237494325
names,state,posterior,accuracy,rmsq
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 1, 0, 0, 0, 0, 0)",0.010373443138107338,0,0.9896265568618927
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 0, 0, 0, 0, 0, 0)",0.010373443138107338,1,0.010373443138107338
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 1, 1, 1, 1, 1, 1)",0.03969830686087851,0,0.9603016931391215
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 1, 1, 0)",0.010373443138107338,1,0.010373443138107338
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 1, 0, 0)",0.010373443138107338,1,0.010373443138107338
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 0, 0, 0)",0.010373443138107338,1,0.010373443138107338
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 0, 0, 0, 0)",0.010373443138107338,1,0.010373443138107338
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 0, 0, 0, 0, 0)",0.010373443138107338,1,0.010373443138107338
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 0, 0, 0, 0, 0, 0, 0, 0)",0.010373443138107338,1,0.010373443138107338
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(0, 1, 0, 0, 0, 0, 0, 0, 0)",0.010373443138107338,1,0.010373443138107338
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(0, 0, 0, 0, 0, 0, 0, 0, 0)",0.010373443138107338,1,0.010373443138107338
names,state,posterior,accuracy,rmsq
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 1, 0, 0, 0, 0, 0)",0.010453598282726217,0,0.9895464017172738
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 0, 0, 0, 0, 0, 0)",0.010453598282726217,1,0.010453598282726217
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 1, 1, 1, 1, 1, 1)",0.14210376615113027,0,0.8578962338488697
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 1, 1, 0)",0.010453598282726217,1,0.010453598282726217
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 1, 0, 0)",0.010453598282726217,1,0.010453598282726217
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 0, 0, 0)",0.010453598282726217,1,0.010453598282726217
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 0, 0, 0, 0)",0.010453598282726217,1,0.010453598282726217
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 0, 0, 0, 0, 0)",0.010453598282726217,1,0.010453598282726217
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 0, 0, 0, 0, 0, 0, 0, 0)",0.010453598282726217,1,0.010453598282726217
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(0, 1, 0, 0, 0, 0, 0, 0, 0)",0.010453598282726217,1,0.010453598282726217
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(0, 0, 0, 0, 0, 0, 0, 0, 0)",0.010453598282726217,1,0.010453598282726217
names,state,posterior,accuracy,rmsq
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 1, 0, 0, 0, 0, 0)",0.010881750137155746,0,0.9891182498628442
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 0, 0, 0, 0, 0, 0)",0.01088175013715575,1,0.01088175013715575
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 1, 1, 1, 1, 1, 1)",0.13718076138628982,0,0.8628192386137101
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 1, 1, 0)",0.010881750137155746,1,0.010881750137155746
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 1, 0, 0)",0.01088175013715575,1,0.01088175013715575
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 0, 0, 0)",0.010881750137155746,1,0.010881750137155746
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 0, 0, 0, 0)",0.010881750137155756,1,0.010881750137155756
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 0, 0, 0, 0, 0)",0.010881750137155746,1,0.010881750137155746
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 0, 0, 0, 0, 0, 0, 0, 0)",0.010881750137155746,1,0.010881750137155746
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(0, 1, 0, 0, 0, 0, 0, 0, 0)",0.01088175013715575,1,0.01088175013715575
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(0, 0, 0, 0, 0, 0, 0, 0, 0)",0.01088175013715575,1,0.01088175013715575
names,state,posterior,accuracy,rmsq
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 1, 0, 0, 0, 0, 0)",0.00949844706857676,0,0.9905015529314233
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 0, 0, 0, 0, 0, 0)",0.00949844706857676,1,0.00949844706857676
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 1, 1, 1, 1, 1, 1)",0.13748109384815613,0,0.8625189061518439
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 1, 1, 0)",0.00949844706857676,1,0.00949844706857676
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 1, 0, 0)",0.00949844706857676,1,0.00949844706857676
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 0, 0, 0)",0.00949844706857676,1,0.00949844706857676
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 0, 0, 0, 0)",0.00949844706857676,1,0.00949844706857676
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 0, 0, 0, 0, 0)",0.00949844706857676,1,0.00949844706857676
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 0, 0, 0, 0, 0, 0, 0, 0)",0.00949844706857676,1,0.00949844706857676
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(0, 1, 0, 0, 0, 0, 0, 0, 0)",0.00949844706857676,1,0.00949844706857676
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(0, 0, 0, 0, 0, 0, 0, 0, 0)",0.00949844706857676,1,0.00949844706857676
names,state,posterior,accuracy,rmsq
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 1, 0, 0, 0, 0, 0)",0.009498447035567913,0,0.9905015529644321
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 0, 0, 0, 0, 0, 0)",0.009498447035567915,1,0.009498447035567915
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 1, 1, 1, 1, 1, 1)",0.137481093432117,0,0.862518906567883
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 1, 1, 0)",0.009498447035567913,1,0.009498447035567913
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 1, 0, 0)",0.009498447035567913,1,0.009498447035567913
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 0, 0, 0)",0.009498447035567913,1,0.009498447035567913
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 0, 0, 0, 0)",0.009498447035567913,1,0.009498447035567913
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 0, 0, 0, 0, 0)",0.009498447035567913,1,0.009498447035567913
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 0, 0, 0, 0, 0, 0, 0, 0)",0.009498447035567915,1,0.009498447035567915
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(0, 1, 0, 0, 0, 0, 0, 0, 0)",0.009498447035567915,1,0.009498447035567915
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(0, 0, 0, 0, 0, 0, 0, 0, 0)",0.009498447035567913,1,0.009498447035567913
names,state,posterior,accuracy,rmsq
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 1, 0, 0, 0, 0, 0)",0.009251089521993284,0,0.9907489104780067
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 0, 0, 0, 0, 0, 0)",0.009251089521993284,1,0.009251089521993284
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 1, 1, 1, 1, 1, 1)",0.169077954525669,0,0.830922045474331
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 1, 1, 0)",0.009251089521993284,1,0.009251089521993284
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 1, 0, 0)",0.009251089521993284,1,0.009251089521993284
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 0, 0, 0)",0.009251089521993284,1,0.009251089521993284
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 0, 0, 0, 0)",0.009251089521993284,1,0.009251089521993284
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 0, 0, 0, 0, 0)",0.009251089521993284,1,0.009251089521993284
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 0, 0, 0, 0, 0, 0, 0, 0)",0.009251089521993284,1,0.009251089521993284
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(0, 1, 0, 0, 0, 0, 0, 0, 0)",0.009251089521993284,1,0.009251089521993284
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(0, 0, 0, 0, 0, 0, 0, 0, 0)",0.009251089521993284,1,0.009251089521993284
names,state,posterior,accuracy,rmsq
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 1, 0, 0, 0, 0, 0)",0.009293365328006377,0,0.9907066346719936
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 0, 0, 0, 0, 0, 0)",0.009293365328006377,1,0.009293365328006377
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 1, 1, 1, 1, 1, 1)",0.15098532514488439,0,0.8490146748551156
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 1, 1, 0)",0.009293365328006377,1,0.009293365328006377
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 1, 0, 0)",0.009293365328006377,1,0.009293365328006377
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 0, 0, 0)",0.009293365328006377,1,0.009293365328006377
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 0, 0, 0, 0)",0.009293365328006377,1,0.009293365328006377
"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 0, 0, 0, 0, 0)",0.009293365328006377,1,0.009293365328006377
